GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
safetyalertV2,com.ouertani.safetyalertV2.service.impl,FireStationService,84,437,3,31,12,77,3,23,1,8
safetyalertV2,com.ouertani.safetyalertV2.service.impl,MappingService,0,32,0,0,0,7,0,4,0,4
safetyalertV2,com.ouertani.safetyalertV2.service.impl,PersonService,127,480,29,29,5,81,26,20,8,9
safetyalertV2,com.ouertani.safetyalertV2.service.impl,MedicalRecordService,12,351,4,20,2,60,4,15,0,7
safetyalertV2,com.ouertani.safetyalertV2.model,FireStation,44,91,12,10,0,5,9,12,1,9
safetyalertV2,com.ouertani.safetyalertV2.model,MedicalRecord,35,154,20,16,15,27,15,17,0,14
safetyalertV2,com.ouertani.safetyalertV2.model,ID,56,76,14,8,0,4,13,7,3,6
safetyalertV2,com.ouertani.safetyalertV2.model,Mapping,0,46,0,0,0,6,0,8,0,8
safetyalertV2,com.ouertani.safetyalertV2.model,Person,32,219,17,31,15,39,15,27,0,18
safetyalertV2,com.ouertani.safetyalertV2.controller,FireStationRestController,136,748,31,67,21,149,29,32,0,12
safetyalertV2,com.ouertani.safetyalertV2.controller,PersonRestController,78,606,15,43,10,124,15,23,0,9
safetyalertV2,com.ouertani.safetyalertV2.controller,MedicalRecordRestController,21,89,3,7,4,16,3,6,0,4
safetyalertV2,com.ouertani.safetyalertV2.controller,GeneralRestController,8,6,0,0,2,3,1,1,1,1
safetyalertV2,com.ouertani.safetyalertV2.util,DateCalculator,3,22,0,0,1,6,1,2,1,2
safetyalertV2,com.ouertani.safetyalertV2.config,HttpTraceActuatorConfiguration,0,7,0,0,0,2,0,2,0,2
safetyalertV2,com.ouertani.safetyalertV2,SafetyalertV2Application,5,3,0,0,2,1,1,1,1,1
safetyalertV2,com.ouertani.safetyalertV2.dto,FileJsonMapping,0,3,0,0,0,1,0,1,0,1
safetyalertV2,com.ouertani.safetyalertV2.dto,MedicalDetailsPersonsAdress,48,194,27,17,21,30,21,19,0,18
safetyalertV2,com.ouertani.safetyalertV2.dto,GetFireStationClassReturn,0,24,0,0,0,5,0,7,0,7
safetyalertV2,com.ouertani.safetyalertV2.dto,PersonInfosName,48,194,27,17,21,30,21,19,0,18
safetyalertV2,com.ouertani.safetyalertV2.dto,ListPersonsDetailsListStatioNumber,18,69,10,8,8,15,8,8,0,7
safetyalertV2,com.ouertani.safetyalertV2.dto,GetFireStationClass,0,46,0,0,0,7,0,10,0,10
safetyalertV2,com.ouertani.safetyalertV2.dto,PersonsDetailsListStatioNumber,43,168,24,14,19,26,19,16,0,16
